Country,Wage
 Burundi,82
 Uganda,95
 Sierra Leone,211
 Cuba,229
 Kyrgyzstan,251
 Georgia,279
 Democratic Republic of the Congo,306
 Central African Republic,360
 Myanmar,401
 Tajikistan,477
 Uzbekistan,490
 Malawi,494
 Rwanda,496
 Eritrea,526
 Cambodia,672
 Ghana,689
 São Tomé and Príncipe,747
 Bangladesh,798
 Moldova,810
 Haiti,817
 Kenya,830
 Swaziland,848
 Ethiopia,902
 Zambia,917
 Madagascar,981
 Guinea-Bissau,993
 Vietnam,"1,002"
 Solomon Islands,"1,005"
 Timor-Leste,"1,020"
 Laos,"1,057"
 North Korea,"1,080"
 Sudan,"1,100"
 Lesotho,"1,202"
 Saint Lucia,"1,274"
 Togo,"1,283"
 Mali,"1,284"
 Niger,"1,367"
 Cameroon,"1,382"
 Kazakhstan,"1,442"
 Côte d'Ivoire,"1,443"
 Montenegro,"1,460"
 Comoros,"1,474"
 Dominican Republic,"1,491"
 Bhutan,"1,520"
 Nigeria,"1,543"
 Benin,"1,553"
 Russia,"1,558"
 Tanzania,"1,593"
 The Gambia,"1,610"
 Sri Lanka,"1,619"
 Senegal,"1,638"
 Chad,"1,671"
 Burkina Faso,"1,736"
 Mauritius,"1,737"
 Mexico,"1,753"
 Libya,"1,785"
 Angola,"1,844"
 Armenia,"1,888"
 Nepal,"1,889"
 Iraq,"1,973"
 Afghanistan,"2,000"
 Mongolia,"2,004"
 Kosovo,"2,019"
 Mauritania,"2,021"
 Cape Verde,"2,047"
 Philippines,"2,053"
 El Salvador,"2,187"
 Nicaragua,"2,218"
 Republic of the Congo,"2,225"
 Azerbaijan,"2,228"
 Ukraine,"2,296"
 Belarus,"2,334"
 Turkmenistan,"2,446"
 Jordan,"2,458"
 South Africa,"2,471"
 Bulgaria,"2,480"
 Pakistan,"2,484"
 Guyana,"2,540"
 Federated States of Micronesia,"2,600"
 Morocco,"2,696"
 Guatemala,"2,734"
 Indonesia,"2,736"
 Tuvalu,"2,795"
 Samoa,"2,838"
 Bolivia,"2,904"
 Tunisia,"2,959"
 Botswana,"2,963"
 Syria,"2,984"
 Uruguay,"3,079"
 Maldives,"3,137"
 United Arab Emirates,"3,287"
 Papua New Guinea,"3,304"
 Gabon,"3,892"
 Trinidad and Tobago,"3,898"
 Suriname,"3,998"
 Jamaica,"4,219"
 Albania,"4,266"
 Algeria,"4,277"
 Republic of Macedonia,"4,300"
 Brazil,"4,304"
 Thailand,"4,318"
 Romania,"4,357"
 Serbia,"4,377"
 Costa Rica,"4,502"
 Saint Vincent and the Grenadines,"4,574"
 Malaysia,"4,735"
 Bosnia and Herzegovina,"4,770"
 Lithuania,"4,843"
 Colombia,"4,983"
 Palau,"5,200"
 Vanuatu,"5,254"
 Seychelles,"5,276"
 Latvia,"5,333"
 Peru,"5,342"
 Chile,"5,484"
 Belize,"5,571"
 Ecuador,"5,680"
 Estonia,"5,709"
 Lebanon,"6,344"
 Panama,"6,370"
 Slovakia,"6,446"
 Paraguay,"6,518"
 Grenada,"6,556"
 Egypt,"6,590"
 Iran,"6,618"
 Czech Republic,"6,695"
 Oman,"7,000"
 Turkey,"7,069"
 Argentina,"7,462"
 Saudi Arabia,"7,585"
 Poland,"7,732"
 Dominica,"7,909"
 Honduras,"7,915"
 Hong Kong,"7,932"
 Croatia,"7,951"
 Saint Kitts and Nevis,"7,954"
 Greece,"8,204"
 Barbados,"8,208"
 Hungary,"8,400"
 Venezuela,"8,495"
 Antigua and Barbuda,"8,519"
 Slovenia,"8,778"
 Portugal,"9,052"
 The Bahamas,"9,917"
 Kiribati,"11,048"
 Spain,"11,426"
 Cyprus,"11,952"
 Taiwan,"12,175"
 Kuwait,"12,341"
 Israel,"12,493"
 South Korea,"12,811"
 Malta,"13,556"
 Austria,"14,101"
 United States,"15,080"
 Switzerland,"15,457"
 San Marino,"15,707"
 New Zealand,"16,462"
 Canada,"16,710"
 France,"17,108"
 United Kingdom,"18,428.24"
 Belgium,"18,813"
 Ireland,"18,965"
 Luxembourg,"19,426"
 Netherlands,"23,029"
 Andorra,-
 Bahrain,-
 Brunei,-
 China,-
 Denmark,-
 Djibouti,-
 Equatorial Guinea,-
 Fiji,-
 Finland,-
 Germany,-
 Guinea,-
 Iceland,-
 India,-
 Italy,-
 Japan,-
 Liberia,-
 Liechtenstein,-
 Marshall Islands,-
 Monaco,-
 Mozambique,-
 Namibia,-
 Nauru,-
 North Korea,-
 Norway,-
 Qatar,-
 Singapore,-
 Somalia,-
 Sweden,-
 Tonga,-
 Yemen,-
 Zimbabwe,-
 Australia,-
