"country","country isocode","year","POP","XRAT","Currency_Unit","ppp","tcgdp","cgdp","cgdp2","cda2","cc","cg","ci","p","p2","pc","pg","pi","openc","cgnp","y","y2","rgdpl","rgdpl2","rgdpch","kc","kg","ki","openk","rgdpeqa","rgdpwok","rgdpl2wok","rgdpl2pe","rgdpl2te","rgdpl2th","rgdptt"
"Afghanistan","AFG","2010","29121.286","46.478333333","Afghani","23.814058069","30594.202438","1050.578688","1078.9041697","1525.8293909","104.22775166","17.405445318","19.790799123","51.23690193","52.898820633","45.627375867","72.539464426","68.508153069","83.588890299","87.931962614","2.255982406","2.3168077294","1049.3561327","1040.4424194","1048.5992132","92.792855257","14.903953408","17.536168971","57.466047907","1346.5907893","3979.863187","3948.904816","na","na","na","934.26366119"
"Albania","ALB","2010","2986.952","103.93644335","Lek","58.26206978","21024.571989","7038.8047714","7136.6602223","8633.9961651","83.530686796","7.6238803233","29.826338461","56.055477656","55.555732402","60.219344009","45.830951995","47.199528704","92.187495864","99.118361102","15.114926569","15.325058545","6616.6311368","6621.5813988","6617.1277917","79.019364928","6.936633186","28.081974882","78.789295163","7451.8002069","14172.856901","14182.395834","na","18709.753569","na","6258.9329688"
"Algeria","DZA","2010","34586.184","74.27","Algerian Dinar","47.361039242","249741.62707","7220.8494314","7360.0237277","6748.8768886","36.195189602","14.960213749","40.540997889","63.768734673","64.304367965","70.819488828","43.806537","64.476566359","72.441473948","96.02327994","15.505844027","15.804702901","6260.2076956","6236.7490531","6263.3406508","37.125805952","14.758696754","41.386594393","63.436460719","7146.8177452","19827.721535","19743.541091","na","14229.048411","na","6361.3614234"
"Angola","AGO","2010","13068.161","91.905720341","Kwanza","89.817018184","77077.286453","5898.0974028","6069.6292081","5715.4118341","58.620766772","17.248456946","18.29487821","97.727342597","98.454635439","89.744058076","163.52092758","60.131794706","125.91461352","90.091335187","12.665404431","13.033746887","5108.1901714","4991.5520175","5107.5421841","60.189656569","17.033574556","18.695630463","113.47480354","6574.1044403","13715.366316","13403.89603","na","7864.768601","na","5208.1188257"
"Antigua and Barbuda","ATG","2010","86.754","2.7","East Caribbean Dollar","2.1251791653","1443.7425757","16641.798369","21424.082433","22906.728488","27.570417806","38.660260407","40.689786454","78.710339455","91.828143303","81.996786287","22.127744587","136.96302972","108.13711902","97.234554267","35.736118346","46.00545736","14472.069315","15553.278229","14485.519613","28.192815986","38.022884515","41.411479031","79.35193411","16685.832229","na","na","na","na","na","14472.114083"
"Argentina","ARG","2010","41343.201","3.8962951545","Argentine Peso","2.4045254758","599975.08577","14512.061748","14588.995514","14114.089243","68.055921298","5.3771215034","23.311720942","61.713124405","62.350072009","57.009347062","107.47320159","64.755070687","40.106668347","97.256283658","31.162783286","31.327988639","12337.59335","12396.615235","12340.330331","71.185259207","5.4095255896","24.268264006","47.781066581","14145.477724","27148.571409","27272.397489","na","33686.729148","18.299079836","12867.782519"
"Armenia","ARM","2010","2966.802","373.66046257","Armenian Dram","202.9273336","17610.248637","5935.7680887","6344.6293329","7769.6199946","93.744917881","7.0041042883","21.710771569","54.307949042","56.210802083","48.631825255","63.614972813","81.788275409","63.647416913","103.61370167","12.746297376","13.624274232","5411.6120268","5406.853724","5411.1576537","91.437320656","6.570728745","21.076147951","55.422259451","5942.7123649","11647.19432","11637.930368","na","14536.533251","na","5254.2517922"
"Australia","AUS","2010","21515.754","1.09016","Australian Dollar","1.2956482249","1069933.5997","49727.915633","49460.197253","48912.04921","61.15805687","5.9141305378","31.819551662","118.84936385","118.74327567","124.96950127","139.77281358","103.22332125","40.711986901","96.720818353","106.7842933","106.20940257","41107.48518","40994.073969","41113.58523","65.789791923","6.1190065318","34.067409629","47.86898556","45413.676863","77017.00114","76793.123828","na","79198.981322","46.778078192","44050.089636"
"Austria","AUT","2010","8214.16","0.755045","Euro","0.8189604942","349008.83378","42488.6822","42488.853365","40646.197303","66.060189744","6.6804196209","22.922591884","108.46512383","107.89616618","108.36801449","130.13087691","102.5384079","103.76944943","99.470600857","91.238972001","91.239339556","38585.630349","38654.499855","38585.513348","64.686397645","6.2916139772","22.339687499","104.67799955","41664.06485","75536.536895","75671.587628","na","78034.418769","46.910231375","37642.233616"
"Azerbaijan","AZE","2010","8303.512","0.8026458333","Azerbaijanian Manat","0.4867667462","89276.230029","10751.622931","10782.063869","7278.1638694","47.878034139","3.6771250578","15.94735199","60.645271668","60.527424079","58.539520078","81.904762596","61.956215192","72.898310272","93.443872321","23.087725314","23.153093307","9478.9994337","9176.2904085","9474.2585668","48.291792395","3.5672257268","16.009059435","111.11832059","10701.174305","18624.64901","18038.898439","na","17575.585893","na","9064.4805289"
"Bahamas","BHS","2010","310.426","1","Bahamian Dollar","0.8003416277","9622.8531179","30998.863233","31251.64836","34122.950518","72.564014509","9.7608666202","26.862801147","80.034162765","79.608230823","86.384943181","75.253646284","64.692314262","93.256812742","95.580866882","66.566065788","67.108889287","30113.746968","30272.760708","30111.018748","66.424418309","8.5936965228","24.473606765","89.488560649","34387.620873","52394.883474","52676.323675","na","na","na","27418.662594"
"Bahrain","BHR","2010","1180.08","0.376","Bahraini Dinar","0.2684887352","31734.46066","26891.787556","26434.474412","20875.001329","32.270418017","2.8847592376","43.813676081","71.406578513","76.867467585","91.299536398","165.97012804","48.534625769","142.28035741","89.658083455","57.746649811","56.764628741","23096.511678","22388.398715","23101.094181","33.412068092","2.8727214401","45.149056784","138.25558253","25769.680318","40982.245349","39717.895695","na","43150.763116","na","23428.171331"
"Bangladesh","BGD","2010","156118.464","69.649291667","Taka","29.399956068","234503.61572","1502.0876437","1536.3342942","1633.7866983","78.869545143","4.6262657327","22.847366155","42.211421487","41.773971642","41.414700579","36.241520207","46.313509788","43.643402555","109.30449935","3.2255397289","3.2990799996","1370.9790796","1371.467126","1371.0133545","76.842107827","4.3351655262","22.154721599","40.837714556","1660.2427226","2818.8005599","2819.7335131","na","4146.6151688","na","1332.016453"
"Barbados","BRB","2010","285.653","2","Barbados Dollar","0.9342241092","8483.12876","29697.320735","29735.605406","32118.449657","75.992317806","6.0224063858","25.998713634","46.71120546","47.346522992","49.219044157","78.35785958","32.264902622","99.340168861","97.260191068","63.771170928","63.853382326","28112.245293","28072.497217","28088.544704","71.386635537","5.4412973241","24.307444656","99.221103862","31050.333915","48348.20867","48320.586475","na","57971.370746","32.858550567","26307.105254"
"Belarus","BLR","2010","9612.632","2978.5316667","Belarussian Ruble","1115.4209122","144184.10955","14999.441313","16259.795667","18292.691396","77.87900396","5.5004020733","29.123184838","37.448684018","38.372290225","31.376814802","50.832284607","52.938593724","124.58660921","97.894587724","32.209368122","34.915816749","13504.33473","14055.761613","13503.14015","76.921503559","5.2252489854","28.62901887","97.802801148","14533.929748","28623.236807","29794.65433","na","29191.815723","na","13235.167237"
"Belgium","BEL","2010","10423.493","0.755045","Euro","0.8550907563","414432.6171","39759.475744","39598.175508","38524.728645","65.476242946","6.6022600884","25.210647668","113.2503038","113.30159504","118.37650564","148.63345786","90.714341111","157.31642105","101.77000632","85.37835269","85.03198121","35558.523643","35654.369639","35556.619913","65.103774297","6.3139366561","24.948626444","160.99783899","38812.887336","78703.357006","78919.722669","na","82752.855122","53.514449821","35223.044525"
"Belize","BLZ","2010","314.522","2","Belize Dollar","0.8517816108","3278.7285058","10424.480659","10688.611955","10468.387496","61.74271256","15.617031667","20.579890404","42.58908054","42.663031","47.557472374","30.102232789","37.043177914","113.87184012","88.690221271","22.385229424","22.952417359","9056.1174302","8958.3336547","9064.8857836","63.20094549","15.375227023","20.966268804","100.33863516","11145.818739","21587.828888","21334.077304","na","na","na","9203.2383756"
"Benin","BEN","2010","9056.01","495.27702157","CFA Franc BCEAO","277.89251164","11688.81048","1290.7241136","1310.5479064","1434.6006925","80.757231736","9.0022800566","19.706207501","56.108500806","55.690721181","55.714621423","51.768668686","59.915360534","39.758556338","100.27399791","2.771663774","2.8142328157","1176.7473682","1179.6339872","1176.8671075","78.769320441","8.4452667394","19.130175259","47.951558242","1518.2758518","2879.0522739","2885.8210852","na","na","na","1142.6920633"
"Bermuda","BMU","2010","68.265","1","Bermudian Dollar","1.6970411965","3544.4707461","51922.225828","53565.296594","61268.81336","80.849889927","15.804192659","17.727461541","169.70411965","170.54368268","176.17994989","117.48528757","191.78259137","96.861487392","121.41843095","111.49629179","115.02457462","45862.01968","45918.546248","45866.491215","81.396371574","15.303229954","17.762839291","93.953669648","50444.272962","na","na","na","na","na","45862.019664"
"Bhutan","BTN","2010","699.847","45.726632735","Ngultrum","20.723554291","3115.246641","4451.3252768","5448.6080926","5886.3395677","54.505783094","24.081877645","29.446161252","45.320534339","48.38397736","39.822533037","22.85935675","77.660173909","147.5871863","93.640428223","9.5586476508","11.700184036","3947.696116","3816.5755659","3946.3976745","54.652959927","23.224513531","29.38596873","124.98194951","4630.5098961","7865.3856717","7606.643133","na","na","na","3874.6071292"
"Bolivia","BOL","2010","9947.418","7.02","Boliviano","3.1268054255","44094.706667","4432.7791058","4635.9825423","4333.8526962","74.673031961","7.0754334316","11.734472833","44.541387828","44.851637601","41.669481003","39.479674148","64.554770826","75.511626274","95.622671751","9.5188221376","9.9551753426","3743.1514799","3779.9958606","3743.8442169","78.637185278","7.1664223614","12.29894843","61.810988996","4539.5013505","8111.2967578","8189.6217877","na","9905.4568681","na","3935.703862"
"Bosnia and Herzegovina","BIH","2010","4621.598","1.4767395685","Convertible Marks","0.827421648","30049.455814","6501.9622681","6545.2874113","7932.8601793","95.739153866","7.7703143561","17.690101496","56.030302541","56.615351448","52.556666234","82.974948598","64.147551797","95.02401237","101.67181907","13.962126444","14.055161609","5941.9285123","5910.4197779","5944.9329568","93.160560892","7.2722077134","17.132196872","78.250318473","6400.4686743","15113.606143","15025.864432","na","23993.469757","na","5762.1180067"
"Botswana","BWA","2010","2029.307","6.793621156","Pula","4.0086998109","21162.72208","10428.546336","10337.767058","11165.659612","46.101615243","11.537574029","50.369237986","59.006820057","62.749643277","70.728373177","102.47585163","38.829623724","86.120587022","98.616617387","22.393959942","22.199023135","9673.1139514","9449.7593092","9675.3513658","44.197642062","10.638554811","48.060530601","73.39483907","11678.511621","18730.026787","18293.314454","na","na","na","9222.8132686"
"Brazil","BRA","2010","201103.33","1.7592267106","Brazilian Real","1.8733558085","1961701.0198","9754.6918783","9715.6136923","9812.8068541","68.999225986","10.268823544","21.732331557","106.48745822","106.20139012","104.8987117","142.84007221","94.321801309","23.299656813","98.195557925","20.946944294","20.863028923","8324.7010638","8278.1851016","8324.3865592","71.897636667","10.291442773","22.538081252","32.645467746","9596.1877764","15974.629747","15885.968418","na","16484.603853","8.9541574452","8632.3748652"
"Brunei","BRN","2010","395.027","1.3633731942","Brunei Dollar","0.7180962889","24488.457888","61991.8585","63455.01937","36943.036165","23.746332719","21.098174158","13.374742808","52.670559457","52.908020372","56.295810328","41.889349353","58.598300772","104.42017546","100.48544435","133.11953088","136.26148037","44543.010808","44337.570368","44555.229757","29.388479922","25.113695491","16.474272155","101.85578389","51240.116176","91063.182803","90618.32466","na","na","na","54553.276784"
"Bulgaria","BGR","2010","7148.785","1.4773916667","Bulgarian Lev","0.7816144951","90165.039722","12612.638333","13149.328263","13388.739352","71.591830626","11.055143614","19.17373541","52.905029367","53.037438805","49.193051581","49.821808503","68.769588389","117.50014069","96.853655431","27.084016169","28.236488663","10588.961425","10576.512287","10589.647077","75.830082979","11.262313924","20.2127319","124.14424938","11377.223191","22726.791363","22698.602357","na","21566.89269","13.063508973","11156.585968"
"Burkina Faso","BFA","2010","16241.811","495.27702157","CFA Franc BCEAO","232.0329446","18676.927959","1149.9289063","1180.9151914","1334.9808499","72.257856151","16.742415932","24.046021133","46.84912372","46.934931727","43.270298467","49.817412591","56.269447731","46.1589217","99.926790208","2.4693242024","2.5358632583","929.68840606","933.51154758","929.9250864","79.477488637","17.711786423","26.323431926","50.493953055","1207.6595235","2029.9137536","2037.7425637","na","1990.5242058","na","1011.8873517"
